GT,Features1,Features2
1,-47.898838,26.872908
7,-39.04967,-3.1934602
9,-4.802254,9.387773
0,-42.603348,-39.30387
2,65.42344,10.400628
6,24.755463,-69.57986
7,-69.80172,-10.218923
8,47.29121,-27.02343
3,39.47966,34.627747
9,-22.730022,49.907574
0,-56.98764,-55.906483
4,23.376839,80.5874
6,23.928616,-70.5594
7,-38.21545,-6.962267
4,22.974926,71.87474
6,30.512318,-71.22382
8,57.472622,-34.736897
0,-52.02079,-42.741016
7,-53.083866,-5.93339
8,71.88003,-41.78358
3,57.724636,48.981037
1,-44.032726,28.707582
5,-3.2470703,-22.542425
7,-48.90386,-7.7742367
1,-59.96709,33.919468
7,-49.402252,-8.493134
1,-52.179394,33.148605
1,-42.50026,27.122622
6,22.908936,-57.7047
3,49.815506,40.840176
0,-44.217113,-41.109
2,44.783276,10.658539
9,-26.56182,59.503384
3,38.642246,33.87029
1,-55.09392,30.731888
1,-50.159523,30.024122
0,-52.53212,-44.656105
4,10.797089,79.17781
9,-29.768684,66.19159
2,43.00538,11.650679
0,-53.710583,-49.917637
0,-44.623463,-40.276592
2,27.44452,3.7634296
0,-43.231457,-40.24162
2,57.919018,3.2148228
7,-47.869007,-3.6567273
1,-39.047363,22.15693
8,28.278433,-18.862524
6,28.758356,-69.89237
4,17.97593,67.10489
1,-55.98016,29.573393
6,30.632406,-69.04671
3,61.295704,53.93546
4,16.276354,82.39397
5,-2.654276,-14.141263
9,-22.884975,51.816296
1,-23.513885,12.324747
3,53.43129,48.503437
3,62.417274,57.25314
8,16.336168,-9.276393
5,-8.60579,-30.061747
4,15.628802,76.09185
7,-26.139915,-0.8026518
7,-41.73849,-2.6265192
4,20.91835,74.51143
2,44.19267,12.183248
8,48.799248,-32.255585
5,-15.165509,-57.580814
8,62.950626,-37.503716
6,32.005802,-72.236786
7,-19.27911,-1.4871006
3,44.284374,41.780453
4,13.933824,52.974804
6,35.318542,-88.73163
1,-52.705517,26.718718
9,-21.783007,50.302967
9,-13.562575,42.237682
6,33.225178,-86.13145
0,-38.706627,-40.191177
3,46.36195,43.448414
7,-37.348095,-6.8907523
2,55.305813,10.898516
8,30.172955,-20.345905
2,52.406364,6.2300477
9,-30.188349,69.17107
4,6.3729663,71.86806
4,15.220752,70.590195
6,36.793465,-94.764145
4,16.97293,68.58695
9,-26.921047,62.768284
7,-34.49069,-5.387044
0,-40.080067,-34.909164
9,-26.003712,58.488285
2,47.37269,12.125571
9,-10.4684305,20.060852
5,-10.364207,-48.016975
1,-57.417393,30.270254
5,-12.370942,-52.07184
9,-23.915905,47.888233
1,-43.324085,25.59598
2,32.65483,7.641198
3,38.970165,35.87926
2,24.845097,2.2806075
3,31.381596,29.129068
5,-7.3106136,-28.45458
9,-25.766579,63.781464
1,-51.873753,30.982069
7,-41.07893,-5.426756
6,24.879036,-73.83052
2,30.595343,2.8884315
8,53.294613,-36.601204
2,45.76434,10.489665
2,30.2369,1.3336254
5,-11.639404,-51.28986
0,-45.90825,-39.682182
7,-42.02016,-4.6806355
4,18.250196,89.484436
9,-19.097979,40.69852
7,-43.90501,-6.7030888
8,51.30303,-26.341742
3,40.357815,36.328503
2,58.29797,6.463856
1,-46.50223,26.310963
1,-51.307148,30.877949
8,44.665695,-29.947943
3,48.9206,48.990498
6,27.845873,-63.831295
1,-54.948257,33.919323
0,-44.76832,-44.08547
3,23.20159,21.619408
1,-51.092735,29.285418
0,-47.90291,-48.81386
0,-36.72343,-31.513828
1,-56.86765,31.70556
7,-38.47908,5.4597874
2,68.17799,13.997954
7,-41.13981,-2.3539784
3,55.6622,52.5777
0,-37.193558,-34.474483
4,16.512314,55.40986
6,33.206944,-75.75286
5,-12.787907,-64.16748
2,59.809525,4.4374137
6,33.644516,-83.31361
4,16.6039,58.16711
7,-57.364437,-5.6619263
1,-21.011852,11.547206
8,45.980564,-30.272795
9,-23.34068,52.421795
9,-14.70258,30.704985
3,27.542934,22.61503
0,-41.588486,-42.71812
7,-45.68041,-7.4066305
1,-54.75781,28.6591
0,-30.583065,-24.073668
2,67.44282,9.86304
0,-23.83684,-23.787043
3,49.06042,49.115158
5,-16.133987,-58.643177
4,16.423286,60.389553
6,17.66053,-54.72138
5,-11.372773,-64.442245
8,28.2392,-13.625349
6,28.064522,-71.535484
3,30.84517,22.271114
7,-49.65966,-6.8562827
5,-9.184749,-40.200787
8,48.71731,-25.980799
0,-36.016003,-29.470459
9,-19.588585,43.236294
1,-53.49725,26.313652
0,-43.63775,-40.756153
3,13.704316,12.755827
1,-54.947086,28.03096
2,66.061646,10.081344
2,54.8305,10.4936905
3,30.960972,30.14649
3,54.176163,51.887714
6,16.550152,-42.789993
4,15.589974,63.977947
7,-47.53291,-8.980202
5,-12.551608,-55.141705
0,-35.282913,-35.082745
6,26.675539,-67.737656
2,26.415537,3.374486
7,-59.40668,-6.70749
9,-22.139881,48.518837
8,54.727226,-34.93532
5,-11.088016,-40.429585
9,-23.878551,51.62347
2,55.461582,6.1229687
1,-57.086735,32.55353
1,-47.211323,28.44388
4,13.676681,48.109623
4,13.333579,66.866425
5,-8.740251,-50.1381
6,17.104929,-39.558178
4,14.3205805,60.760933
1,-52.31673,30.219034
2,54.328434,8.863881
5,-5.5103083,-29.01436
3,52.453175,51.407017
9,-25.047436,53.225937
3,42.75848,44.937634
9,-10.241272,30.18284
0,-38.134785,-36.73152
5,-7.0598745,-49.171135
9,-18.675276,39.64809
6,23.066433,-53.074604
5,-10.317541,-45.737545
7,-65.74792,-11.536378
4,13.703691,53.87723
1,-53.38147,30.986544
3,51.900597,51.903492
4,15.171891,61.24478
0,-44.351257,-38.633774
4,13.428559,68.876656
8,45.947384,-27.398466
0,-33.70985,-35.44408
4,17.332338,63.405056
3,55.490765,50.171257
6,34.822964,-80.09648
8,44.94464,-27.22942
7,-49.526115,-8.792523
6,29.960869,-77.35373
0,-52.143078,-48.593533
9,-11.589164,28.097439
7,-55.988583,-10.887612
5,-15.548368,-53.903328
7,-50.35824,-10.74733
2,74.841194,11.453489
1,-52.57348,27.757708
1,-58.019527,29.711237
6,32.24659,-76.83887
8,41.930794,-27.215143
9,-16.818169,35.082314
4,17.92704,49.819397
1,-49.711094,30.032928
5,-5.6468706,-32.351315
2,56.3819,9.924604
2,26.233511,3.605485
9,-23.678354,51.573757
0,-39.21087,-37.930164
3,46.44472,46.52629
9,-29.516743,57.851086
6,27.981174,-72.11234
7,-51.72362,-12.2087555
2,58.339203,8.0846815
0,-42.679317,-41.704834
3,51.000576,52.080193
5,-6.9802685,-62.09856
4,18.000088,69.5247
3,39.17813,34.323227
6,18.832678,-42.223206
5,-17.733318,-68.47121
8,59.906322,-35.47491
9,-21.22153,53.69601
5,-15.103187,-57.937862
4,20.065912,75.29228
7,-63.124943,-10.410161
4,23.293858,74.25826
2,67.05165,11.253482
7,-21.28238,-0.47460848
3,45.061443,45.282032
4,8.545309,29.925993
8,50.50992,-31.724724
9,-17.372442,48.484886
1,-51.85374,28.340788
9,-14.302962,25.459635
2,63.76016,9.22496
8,45.66719,-27.277426
7,-60.62901,-7.5995355
9,-30.09634,64.25778
1,-46.947018,25.940516
8,43.419914,-27.05941
7,-46.461075,-9.028554
4,9.62114,48.40211
1,-49.785057,28.956083
3,45.128456,36.42287
1,-51.787514,30.857893
1,-48.173233,27.8448
0,-51.97201,-50.1554
2,70.22151,4.1874943
3,47.052944,49.711422
9,-13.412424,29.546297
4,10.581609,46.019028
9,-20.187313,42.074795
2,75.364,11.994273
1,-39.931316,20.068731
6,28.311893,-71.32066
8,34.29102,-18.535892
4,24.37631,83.70297
7,-38.50789,6.0678906
7,-53.87971,-7.295191
4,26.800037,85.30126
4,15.890872,58.972027
9,-20.107773,45.522377
2,67.14273,10.115808
5,-5.0272465,-27.97161
7,-57.65279,-8.374947
2,71.40332,8.613833
4,16.20155,52.275246
4,18.461306,64.58478
2,66.30077,5.94993
1,-53.18108,32.91351
9,-31.378582,67.99608
7,-60.417088,-9.221897
2,62.44443,11.989096
8,26.145359,-14.730906
7,-60.1629,-11.485368
6,20.328777,-61.471546
9,-21.528854,46.566063
2,38.12037,-1.621632
2,33.441635,3.675708
3,48.37396,49.06755
8,72.98061,-38.323555
1,-43.335842,26.203217
6,30.652565,-77.4843
5,-11.741813,-62.16122
1,-49.972157,31.611078
1,-53.105473,26.949026
0,-47.479473,-46.672127
2,36.664528,9.164457
6,29.90533,-67.01893
4,21.304003,73.622154
5,-14.714732,-60.468662
8,27.102495,-14.065392
3,51.608818,52.24315
1,-62.421185,34.185596
5,-15.928023,-67.471214
1,-55.3578,31.098877
9,-21.94334,54.40031
2,56.75542,7.6037946
7,-55.3978,-9.4763565
4,5.476446,44.18394
4,21.04698,67.70567
4,16.258709,55.07217
8,57.650356,-32.857548
1,-39.31376,25.069864
5,-10.76381,-54.32592
8,11.933007,-7.902602
9,-23.210659,49.60635
5,-3.7217715,-28.258062
6,31.271423,-87.91398
7,-49.44569,-9.850772
9,-24.161377,51.60887
9,-11.441373,23.580723
3,39.94729,38.243362
7,-45.32085,-9.186157
0,-43.840153,-39.311108
9,-33.285923,60.6923
0,-47.358685,-45.806908
6,24.281086,-69.14311
6,32.841618,-84.156746
2,75.87778,11.479932
3,56.281693,53.84902
9,-25.170662,58.364506
0,-47.4351,-43.962646
7,-32.89652,-0.84562486
5,-6.0201693,-40.520725
4,18.8508,77.26936
8,41.899464,-26.896757
0,-32.126156,-36.788155
9,-20.587284,40.1488
4,17.033407,57.33562
1,-49.9629,29.63231
2,35.037228,4.8185387
8,57.93765,-32.520847
7,-43.57915,-9.18
1,-47.895466,28.674929
2,39.125328,9.484991
6,24.310669,-70.11188
1,-52.84074,27.858614
0,-39.544807,-36.542065
3,34.27731,28.964842
0,-45.075768,-40.115566
1,-51.751507,27.435106
1,-50.133392,31.42486
8,42.056107,-24.083845
2,42.34908,1.9422892
0,-50.026974,-46.591515
3,45.967968,43.593754
9,-18.137794,37.437225
4,22.14208,87.00964
0,-39.65773,-41.109463
5,-10.895135,-53.097927
0,-38.77708,-39.746277
6,28.783699,-78.91044
1,-51.776722,30.270105
7,-42.16406,-4.13814
7,-35.224377,-6.93923
8,48.671894,-30.392288
1,-22.338806,13.242115
9,-22.48186,47.320724
2,44.113407,2.244206
0,-49.517216,-45.57694
5,-15.637425,-74.52359
1,-51.282883,31.111528
2,55.217113,7.1072016
2,38.528378,0.21267682
7,-63.395733,-13.322029
3,37.825657,33.88496
5,-8.003613,-49.673218
4,17.630611,70.78642
9,-16.576893,51.79148
7,-31.53876,-3.013908
1,-59.046482,30.973635
8,52.904434,-36.924892
3,51.73576,46.456093
9,-20.838505,46.172863
6,19.282862,-39.739697
0,-31.2029,-24.654345
3,61.18973,53.721382
1,-46.618053,26.716455
1,-41.210274,19.956526
2,49.24753,7.0098505
6,12.090444,-34.88879
3,35.936188,33.20876
5,-7.623937,-52.218216
7,-40.31772,-4.742394
6,21.956936,-69.38764
8,54.22682,-35.349583
3,28.370087,19.509562
9,-15.331738,33.49489
5,-7.8797426,-36.303787
8,38.8493,-24.631723
5,-13.049708,-75.14157
7,-53.305973,-7.3239303
6,14.522672,-33.083454
1,-49.09691,29.801468
1,-46.464245,28.352018
3,31.785915,28.404001
1,-50.0703,26.894537
7,-47.71633,-1.2306278
5,-16.279148,-75.19223
5,-15.707575,-59.1379
5,-8.98765,-35.2751
2,77.34648,8.646885
5,-8.858858,-67.11769
8,31.211294,-17.635744
7,-25.49488,-3.2444828
0,-41.35899,-41.664856
9,-22.59334,52.698296
7,-37.85324,-3.793256
7,-54.5898,-7.6537127
5,-8.851209,-48.523968
0,-39.394188,-41.953125
9,-22.882038,58.306282
0,-46.089256,-41.576702
0,-37.160843,-39.44612
8,29.449982,-13.72078
9,-17.304241,46.044796
2,47.850582,8.974601
4,13.049797,58.299072
8,44.790943,-26.607952
1,-46.48128,26.047766
6,35.501575,-84.2427
1,-39.80841,23.589481
6,29.746027,-72.02907
5,-11.8516865,-54.60883
1,-54.421505,31.505209
8,54.37529,-33.08696
3,45.08661,41.132526
4,18.328674,76.64214
0,-23.431149,-27.917439
5,-9.463048,-52.398335
5,-9.526544,-57.140053
8,55.305992,-34.20796
3,48.36464,39.602325
6,10.143243,-27.657753
2,64.50025,4.6863136
3,39.85092,38.86005
9,-25.312843,59.508343
2,33.14249,5.9966903
1,-30.67131,21.733355
1,-44.02191,27.742613
5,-11.023751,-43.189957
2,40.93259,1.5397007
1,-44.20376,27.050352
3,55.516857,51.786167
2,44.879513,3.6510777
8,37.240173,-22.195837
7,-55.228085,-5.1276073
3,35.141197,33.60402
7,-53.943844,-7.299909
2,31.14429,5.5870996
4,20.3056,80.58344
6,18.994095,-51.612293
9,-27.995815,61.439514
7,-47.894848,-6.1016397
2,35.605434,3.4605808
4,11.895261,62.41251
2,56.66033,5.7417693
8,64.34761,-37.97921
1,-51.883568,24.892996
1,-50.153145,33.329174
3,48.6228,42.84489
8,54.25982,-30.414362
4,10.4610405,38.874073
0,-45.804764,-39.834675
6,21.809656,-40.455624
5,-8.470593,-42.123623
9,-25.112793,60.855473
3,29.368666,36.192337
0,-45.222725,-41.865685
9,-19.543823,41.836433
2,23.807669,3.9583511
4,23.091019,74.61076
7,-43.186436,-4.7592225
1,-47.832462,29.835375
2,24.632591,0.83906937
9,-18.129543,41.46376
4,17.283422,70.694176
2,51.75368,11.962773
6,28.020206,-70.244545
1,-45.85379,30.448706
8,27.045326,-18.572746
9,-21.25269,52.145634
0,-31.906116,-33.53933
6,28.077847,-54.98834
6,24.54564,-53.955517
7,-40.79128,-3.897594
9,-26.397648,57.68822
9,-13.119052,32.065857
8,35.21364,-24.079056
0,-44.07487,-43.230244
1,-41.220257,23.51263
4,6.980932,43.546978
4,18.647366,60.89996
6,18.672243,-52.80752
7,-43.358284,-9.152763
1,-44.07347,28.314157
5,-8.3964815,-43.157875
7,-43.700928,-1.9457891
0,-50.889313,-48.102303
3,43.80096,42.993923
5,-13.704906,-53.050518
8,61.363506,-35.51958
4,8.374766,73.19206
7,-47.49965,-6.1485844
1,-58.036648,32.241673
2,55.1821,1.452153
5,-4.4084845,-44.11249
9,-26.360474,57.297535
5,-15.557982,-51.331844
6,11.946468,-37.690792
7,-44.286037,-4.110117
5,-6.8658094,-44.731564
9,-15.33484,37.93023
8,35.498405,-23.006418
8,29.145372,-18.505402
3,42.39825,43.539745
6,15.66906,-40.334473
9,-8.580815,27.700228
7,-51.458843,-10.0676565
0,-38.61005,-33.446392
7,-33.42638,-5.2526407
5,-4.3661556,-21.142126
7,-34.42045,-5.0362134
1,-44.07631,27.075514
1,-56.710533,31.823755
0,-49.346844,-47.641476
7,-50.98041,-10.892557
9,-17.310358,50.544292
2,71.71125,12.363213
3,31.056545,29.062191
7,-36.8537,1.8095149
3,49.623936,46.725285
2,44.505703,3.839912
4,13.090301,46.18279
1,-53.93662,30.233828
6,34.239655,-80.14294
2,54.969482,14.615681
7,-36.672626,-1.378593
5,-8.258157,-33.80055
5,-10.056478,-46.88885
7,-65.03497,-10.421382
4,20.947933,88.26923
0,-44.14281,-45.10403
2,19.191996,2.6713016
6,25.658451,-61.96008
3,32.563652,26.433786
6,21.807217,-67.27432
4,8.855967,59.17977
0,-49.109875,-48.995544
4,20.0749,70.608
2,42.51332,3.7738044
6,17.478748,-41.60388
0,-39.266644,-36.28347
0,-39.847515,-39.46201
0,-36.44484,-31.177574
0,-50.381733,-41.876408
3,32.190567,28.776493
1,-48.267597,31.662703
6,28.296574,-67.90332
2,66.565216,11.243369
2,40.45003,6.198516
3,44.0267,40.14741
1,-48.172077,27.594408
4,21.98189,59.990246
1,-59.47041,30.533613
5,-9.557769,-49.601284
4,15.852267,60.399754
6,32.94169,-74.465546
4,14.992901,53.016815
7,-56.565014,-9.910076
2,89.16286,14.32704
8,58.80481,-28.579115
7,-45.99352,-8.038949
9,-29.053158,65.89911
2,51.46005,7.6201553
0,-45.405163,-45.43353
5,-8.9152,-33.377186
1,-49.559856,32.559437
4,11.415526,65.81648
2,62.343662,10.571079
8,41.913643,-28.2225
3,46.00957,44.976727
2,39.596478,-0.53271693
4,18.76173,57.892834
1,-47.227077,28.191294
5,-9.580454,-46.214252
4,12.090985,40.64215
6,34.166813,-79.528946
0,-47.983902,-41.290646
7,-52.108624,-6.1919127
9,-13.420321,22.456114
8,51.703583,-26.84568
4,15.068832,74.65343
9,-27.946657,62.893024
8,47.769062,-31.5474
0,-43.042973,-41.340107
1,-60.80543,33.02253
1,-39.964344,26.406265
0,-26.12486,-22.030163
2,64.025475,11.56055
2,46.865974,9.180562
3,42.944946,38.981987
2,49.107983,7.1123385
4,17.895798,65.34085
4,6.979931,34.631668
5,-10.1361,-55.287086
8,13.375557,-7.030989
6,32.653175,-78.17766
5,-11.644514,-64.00259
7,-52.726612,-8.944292
7,-55.697636,-7.2347965
8,44.38128,-18.357393
8,41.35263,-26.104162
9,-26.66782,62.332928
7,-44.6714,-7.1690903
4,15.41565,49.428047
7,-80.85003,-15.055584
3,37.104424,38.31489
2,67.72574,6.15431
0,-53.699635,-48.898
8,45.73696,-26.31459
6,34.57757,-85.47566
8,24.305634,-15.389915
6,31.024284,-70.58475
1,-42.475807,27.160486
6,27.463219,-61.60412
8,24.501747,-14.790998
9,-22.690823,57.98376
4,18.121992,64.13188
0,-44.70338,-39.405396
9,-16.301926,39.59087
0,-42.599213,-42.556168
4,11.302472,39.178204
1,-52.112694,32.75266
5,-6.984391,-39.56866
4,7.073639,38.57229
7,-47.399242,-8.175695
5,-9.070933,-44.31236
3,49.620403,53.480225
7,-46.723454,-5.411223
4,4.598036,44.38047
9,-21.97153,49.00694
8,42.337246,-24.036226
5,-8.997584,-55.058887
8,47.018238,-38.95399
6,30.042343,-71.23575
3,39.768974,34.087524
8,60.894352,-35.12611
6,31.844898,-74.2152
9,-24.704906,55.252598
9,-23.642971,52.393955
1,-51.272152,31.11944
8,48.44489,-33.93397
3,57.34074,53.553062
5,-14.805602,-59.562447
8,44.615704,-20.412907
6,10.335574,-28.358671
5,-12.34331,-66.72072
9,-13.535856,31.635435
7,-52.736027,-9.034986
2,78.95515,13.642571
5,-9.57796,-50.40334
0,-41.024403,-43.793777
8,58.0519,-34.182133
5,-1.9200501,-10.147762
1,-53.53123,33.12934
1,-56.693584,33.8938
0,-45.65031,-40.091194
9,-22.674557,51.832973
1,-55.403385,33.30402
8,35.89148,-23.105719
6,34.856117,-87.91029
7,-30.097698,-3.076899
0,-50.1607,-46.056652
9,-14.208267,33.765144
3,51.81264,47.12577
0,-31.176025,-30.447767
8,56.78651,-29.62548
8,43.965054,-23.884531
9,-26.423187,61.149746
6,28.702116,-81.52988
7,-46.137928,-6.331585
8,49.827328,-31.098846
4,22.501375,71.667145
7,-50.337017,-6.2056513
5,-7.115117,-38.01122
9,-29.407928,44.262974
2,58.62541,11.376656
6,33.930298,-71.296936
7,-48.62324,-5.3839893
4,12.230762,78.317116
5,-8.634022,-36.931366
9,-23.416637,54.483818
2,69.56542,10.196457
3,39.484905,32.649258
1,-53.679546,30.845352
6,34.26602,-75.79162
3,34.5376,38.537716
9,-25.703533,66.486176
2,55.330456,8.886007
2,67.215866,5.1416664
5,-7.9058485,-42.42844
6,34.982796,-83.39156
8,34.22629,-19.506754
0,-45.776985,-43.99928
7,-44.698933,-8.159851
7,-46.7628,-7.8125944
1,-46.98969,30.217749
9,-16.669716,37.34688
8,68.44975,-39.269516
7,-51.22602,-6.256584
0,-42.01941,-38.710217
9,-11.902799,29.617537
9,-20.26346,48.479324
4,14.042396,54.503925
6,27.96809,-72.8305
2,50.90028,5.7556887
8,60.33906,-32.142277
5,-7.0995464,-29.216757
1,-51.844723,30.43717
4,21.891958,71.39416
1,-49.641182,32.273838
5,-2.0115561,-31.174908
5,-9.339858,-50.22681
1,-56.132946,28.854536
7,-55.182568,-11.320608
3,55.77565,53.123127
6,37.292393,-89.2186
4,12.745662,49.612156
3,27.09956,25.942432
2,55.370747,11.742647
5,-5.8543825,-48.10985
6,23.633602,-57.49627
4,24.49655,80.33107
4,22.5767,56.230633
0,-43.847527,-36.59951
4,7.1145563,35.92119
4,21.573685,57.934887
6,19.198074,-46.35574
7,-50.64532,-9.6005535
2,29.220716,3.59782
4,20.150614,72.040085
3,38.39578,35.025204
3,36.228394,41.232403
8,43.57461,-27.331774
0,-40.65402,-37.00267
0,-53.47931,-48.32793
3,35.711338,35.147232
2,75.21076,10.999024
2,57.763542,7.2091784
9,-10.355863,23.563457
8,52.19931,-23.941788
2,31.971283,2.8215816
3,40.367844,39.522404
7,-46.64342,-6.1202564
0,-44.952816,-45.94955
1,-38.74919,20.303484
1,-53.902485,34.23388
0,-29.22961,-30.508787
2,58.587055,8.368352
3,42.099632,41.559643
3,52.426533,42.305286
8,41.15657,-26.413006
4,21.241856,66.92997
3,56.441563,51.051353
5,-9.867617,-49.625957
7,-45.82037,-5.20114
6,29.03294,-77.79146
4,16.150454,67.8382
7,-45.192936,-4.9242363
7,-26.571844,-3.047144
8,48.2486,-27.513876
5,-7.9886804,-41.1596
9,-22.311523,48.538277
7,-37.507378,-8.620932
0,-34.6352,-27.10892
3,55.990173,53.25696
1,-52.986942,33.384815
6,13.707849,-33.477715
2,36.22283,-0.038189586
4,12.872178,53.201477
3,41.325054,34.21285
4,13.01071,54.12718
4,15.914279,63.610622
7,-59.31008,-13.406464
5,-12.262475,-49.961
9,-19.341473,43.23925
6,27.904585,-68.408
9,-13.703078,28.85074
0,-31.70435,-23.487122
7,-49.425343,-8.613346
1,-50.2689,30.578176
4,17.911415,61.999695
2,53.297935,3.6740386
7,-56.327885,-9.609933
3,45.349262,44.48375
6,25.575281,-56.60755
7,-30.922977,-1.2543684
5,-15.530796,-61.00703
8,46.74219,-29.862698
4,15.488246,90.24629
5,-11.990011,-49.32323
5,-2.8611193,-23.98836
2,53.177082,5.019751
7,-49.3158,-9.910892
1,-52.20693,32.157475
1,-48.7401,27.151167
5,-13.097419,-57.85983
6,18.89752,-54.98553
8,71.30556,-41.480778
5,-11.230128,-50.996033
8,66.534004,-39.51581
4,19.244324,65.53334
0,-46.72937,-37.53062
7,-31.299324,-4.0407405
9,-22.878132,53.355457
9,-23.642033,55.778976
2,47.64667,3.1908278
9,-23.672699,56.0433
7,-45.735435,-5.566333
7,-44.95463,-5.2948294
8,28.210606,-19.602598
7,-50.522682,-4.652381
4,23.755255,69.92889
2,45.61819,2.9146166
6,18.703245,-51.2307
9,-27.826414,61.202168
1,-49.835728,31.824411
7,-35.65093,-1.9813002
0,-26.455757,-24.12966
6,27.457083,-76.827225
4,20.864986,69.59045
2,56.813,5.5732336
5,-11.458401,-54.933155
7,-52.445393,-8.600731
0,-41.647392,-38.41209
7,-54.463093,-11.323653
1,-52.254097,33.991352
0,-42.669323,-36.697613
3,45.986034,41.7849
7,-51.104805,-11.231797
6,21.867754,-56.890083
5,-15.7498,-69.968094
0,-37.591427,-31.536108
6,17.258617,-42.025238
1,-50.366367,30.078985
5,-13.268937,-65.59186
1,-51.448017,32.99957
7,-59.74371,-10.001358
8,52.752766,-31.310928
5,-12.467132,-48.598186
0,-44.90742,-34.466446
3,20.76134,23.06054
4,14.288279,70.00971
7,-44.379383,-8.054354
7,-38.569958,-6.25661
5,-16.351906,-63.331226
7,-16.605722,-0.5571589
8,47.739326,-30.011843
6,33.399426,-79.423096
9,-7.0292006,20.804806
3,55.963688,54.370785
8,64.83766,-45.279224
6,30.32193,-71.59086
1,-51.51755,29.753477
0,-44.067837,-42.7906
9,-21.377758,50.948112
7,-46.33843,-5.331938
1,-47.026203,27.208227
3,44.52132,44.008804
0,-36.346653,-36.890198
5,-10.8084,-53.839222
6,34.584225,-67.08275
4,17.074387,59.841618
4,17.082586,69.752144
2,46.491825,2.8376818
4,18.953312,80.617355
4,11.125592,42.66408
3,61.844646,54.35632
1,-51.461456,31.178675
7,-52.070763,-7.4649286
7,-29.170353,-3.9885345
6,27.062122,-62.755695
0,-42.847885,-34.13685
3,35.46822,37.503326
6,30.019333,-73.62567
0,-45.681396,-40.93041
7,-25.653881,1.3307545
1,-40.028744,21.249586
1,-52.30766,31.937407
4,9.750729,41.87275
9,-20.060402,40.030956
4,16.68402,68.47193
3,37.0611,34.476006
4,11.724973,75.005165
8,40.532555,-23.454556
2,69.30045,10.838238
2,50.065907,4.936284
1,-54.49677,29.503126
8,41.698853,-26.554375
7,-36.60466,-7.4191103
0,-24.139614,-24.14264
8,31.82847,-18.5557
1,-47.07442,28.194025
0,-41.95955,-40.72301
7,-29.63797,-1.0928396
6,24.915518,-58.54541
3,21.51254,23.092566
7,-27.381306,-1.4484932
7,-32.597843,-1.7593726
5,-7.6311636,-33.44743
8,54.77076,-33.527294
8,44.386433,-29.76375
9,-18.01791,47.877296
0,-50.10412,-44.594646
0,-36.182545,-27.031796
4,7.1959343,35.258915
1,-41.200336,24.699862
5,-5.0706625,-20.70413
2,52.530605,-1.7486689
2,70.56777,8.723407
3,31.83812,29.677147
9,-11.985103,35.621033
4,14.061738,55.90797
9,-25.068146,63.637547
5,-8.789823,-52.64675
0,-41.35597,-38.89018
6,26.290157,-64.573326
7,-50.30817,-8.384627
7,-40.656376,-3.9140077
1,-50.965557,27.40943
8,49.45339,-28.745882
0,-29.076832,-26.370161
2,28.16312,5.28293
2,55.253582,9.027483
0,-25.518448,-18.936441
4,17.699703,63.802505
1,-50.595524,31.497866
1,-46.363163,25.223879
2,52.215652,1.0963439
7,-50.236095,-4.624708
3,31.393248,30.793295
9,-23.973232,58.32752
7,-33.309532,-2.5147722
2,49.32027,11.686382
8,31.852186,-16.731274
1,-46.614536,27.64545
9,-15.433161,37.780163
5,-6.706571,-50.458973
8,54.89359,-37.35032
